original-domain,domain-name,issuer-name,issuer-country,cert-start,cert-end,cert-duration,fuzzer,http-active,https-active,dns-ns,dns-a,dns-mx,geoip-country,banner-http,ssdeep-score
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.canada.ca,Entrust Inc.,US,2020-09-01,2021-09-30,394,original*,1,1,,23.6.86.167,,,AkamaiGHost,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.ganada.ca,cPanel Inc.,US,2020-10-27,2021-01-25,90,bitsquatting,1,1,ns1.kukiweb.com,68.233.232.178,ganada.ca,,Apache,0.0
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.sanada.ca,Let's Encrypt,US,2020-11-13,2021-02-11,90,bitsquatting,1,1,ns8247.hostgator.com,192.185.48.138,sanada.ca,,Apache,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.calada.ca,Let's Encrypt,US,2020-12-17,2021-03-17,90,bitsquatting,1,1,ns51.domaincontrol.com,162.241.85.111,,,,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.canadia.ca,Let's Encrypt,US,2020-12-15,2021-03-15,90,homoglyph,1,1,ns1.bluehost.com,162.241.216.200,mail.canadia.ca,,Apache,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.canadia.ca,Let's Encrypt,US,2020-10-15,2021-01-13,90,homoglyph,1,1,ns1.bluehost.com,162.241.216.200,mail.canadia.ca,,Apache,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.camada.ca,Let's Encrypt,US,2020-11-12,2021-02-10,90,homoglyph,1,1,ns-mtl-1.webdomaine.ca,198.72.104.58,mx1.spamshield.io,,Apache,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.canaada.ca,Sectigo Limited,GB,2019-12-25,2020-12-24,365,repetition,1,0,ns1.uniregistrymarket.link,52.128.23.153,localhost,,nginx,0.0
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.csnada.ca,Let's Encrypt,US,2020-11-08,2021-02-06,90,replacement,1,1,ns1.dnsowl.com,157.230.86.124,,,nginx,
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.fanada.ca,GoDaddy.com Inc.,US,2020-05-27,2021-03-01,278,replacement,1,1,ns21.domaincontrol.com,132.148.255.142,,,Apache,0.0
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.fanada.ca,GoDaddy.com Inc.,US,2020-02-28,2021-03-01,367,replacement,1,1,ns21.domaincontrol.com,132.148.255.142,,,Apache,0.0
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.fanada.ca,GoDaddy.com Inc.,US,2018-12-31,2020-12-31,731,replacement,1,1,ns21.domaincontrol.com,132.148.255.142,,,Apache,0.0
www.canada.ca/en/services/benefits/ei/cerb-application.html,www.vanada.ca,Let's Encrypt,US,2020-10-22,2021-01-20,90,replacement,0,0,ns1.md-54.webhostbox.net,199.79.62.115,mail.vanada.ca,,,
bell.ca,amsspetm.int.bell.ca,Entrust Inc.,US,2020-12-16,2021-12-16,365,original*,0,0,,,,,,
bell.ca,www215.interaction.bell.ca,Entrust Inc.,US,2020-12-16,2021-12-16,365,original*,0,1,,184.150.84.97,,,,
bell.ca,www210.interaction.bell.ca,Entrust Inc.,US,2020-12-16,2021-12-16,365,original*,0,1,,184.150.84.96,,,,
bell.ca,egain.aliant.bell.ca,Entrust Inc.,US,2020-12-16,2021-12-16,365,original*,1,1,!ServFail,184.150.84.84,,,BigIP,0.0
bell.ca,pp-egain.aliant.bell.ca,Entrust Inc.,US,2020-12-16,2021-12-16,365,original*,1,1,!ServFail,184.150.84.85,,,BigIP,0.0
bell.ca,ordermax-uat4.bell.ca,Entrust Inc.,US,2020-12-14,2021-12-14,365,original*,0,1,,206.47.98.236,,,,
bell.ca,ordermax-uat3.bell.ca,Entrust Inc.,US,2020-12-14,2021-12-14,365,original*,0,1,,206.47.98.235,,,,
bell.ca,nets-uat.nti.int.bell.ca,Entrust Inc.,US,2020-12-14,2021-12-14,365,original*,0,0,,,,,,
bell.ca,tim-uat.nti.int.bell.ca,Entrust Inc.,US,2020-12-14,2021-12-14,365,original*,0,0,,,,,,
bell.ca,cae.int.bell.ca,Entrust Inc.,US,2020-12-14,2021-12-21,372,original*,0,0,,,,,,
bell.ca,otwaon23-2925431397.sdsl.bell.ca,Let's Encrypt,US,2020-12-13,2021-03-13,90,original*,1,1,,174.94.138.101,,,Apache/2.4.29 (Ubuntu),
bell.ca,ws-sft01.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,ws-sft02.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,ws-soak.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,ws-vld.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,ws-vld-on.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,ws-vld-qc.bell.ca,Entrust Inc.,US,2020-12-11,2021-12-11,365,original*,0,0,,,,,,
bell.ca,DeviceHub.store.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,,,,,
bell.ca,www.DeviceHub.care.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,184.150.80.154,,,,
bell.ca,www.DeviceHub.store.bell.ca,Entrust Inc.,US,2020-11-18,2021-12-17,394,original*,0,0,,184.150.80.154,,,,
bell.ca,bcoc3b.on.bell.ca,Entrust Inc.,US,2020-12-09,2021-12-09,365,original*,0,0,,,,,,
bell.ca,prepaid.bell.ca,Entrust Inc.,US,2020-11-04,2021-11-04,365,original*,1,1,,67.69.237.11,,,BigIP,0.0
bell.ca,fundsinweb.int.bell.ca,Entrust Inc.,US,2020-12-08,2021-12-08,365,original*,0,0,,,,,,
bell.ca,www214.uat.interaction.bell.ca,Entrust Inc.,US,2020-12-08,2021-12-08,365,original*,0,0,,,,,,
bell.ca,www213.uat.interaction.bell.ca,Entrust Inc.,US,2020-12-08,2021-12-08,365,original*,0,1,,184.150.84.99,,,,
bell.ca,dmobbq-013.on.bell.ca,Entrust Inc.,US,2020-12-07,2021-12-07,365,original*,0,0,,,,,,
bell.ca,connexions.bell.ca,Entrust Inc.,US,2020-12-07,2021-12-07,365,original*,0,0,,,,,,
bell.ca,connexions.int.bell.ca,Entrust Inc.,US,2020-12-07,2021-12-07,365,original*,0,0,,,,,,
bell.ca,BellmediaSharepoint.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,BuzzArchive.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,Buzz.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,efm.espace.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,Engops.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,erc13.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,erc.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,espace13.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,espace.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,fmls13.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,fmls.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,hrkm.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,mysite.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
bell.ca,QsspecialtyChannels.int.bell.ca,Entrust Inc.,US,2020-12-06,2021-11-28,357,original*,0,0,,,,,,
